1,15,14,3,9,3,2,5,N,2,1.13,N,3,2.35,N,0,0,N,4,3,N
10000,1,1,1,1,1,1,10,N,1,7,N,1,1,N,0,0,N,1,16,N
1000000,4,4,0,3,1,1,3.33,N,0,0,N,0,0,N,0,0,N,3,13.85,N
1000002,7,7,1,6,0,1,18,N,0,0,N,1,.8,N,0,0,N,6,7.22,N
1000017,5,5,0,3,1,0,0,N,0,0,N,0,0,N,0,0,N,1,8.14,N
100002,27,27,2,14,5,7,1.55,N,1,.06,N,2,.87,N,0,0,N,5,4,N
1000030,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000035,9,9,1,7,0,1,1.85,N,0,0,N,0,0,N,1,.62,N,6,3.33,N
1000058,24,24,1,24,2,0,0,N,1,.3,N,1,.56,N,0,0,N,8,3.84,N
1000061,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000062,1,1,0,1,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000066,23,23,1,22,4,2,2.46,N,2,.1,N,1,.16,N,0,0,N,13,4.69,N
1000076,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000077,4,4,2,4,3,0,0,N,0,0,N,2,3.8,N,0,0,N,4,23.4,N
1000079,32,32,0,22,5,4,2.52,N,5,.35,N,0,0,N,0,0,N,8,2.82,N
100008,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000080,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000105,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
100011,140,140,0,128,15,6,.54,N,4,.05,N,0,0,N,0,0,N,26,1.33,N
1000130,2,2,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000132,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000133,2,2,0,1,1,0,0,N,1,.66,N,0,0,N,0,0,N,1,21,N
1000149,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000156,1,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000158,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000165,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000172,0,0,0,0,0,0,0,N,0,0,N,0,0,N,0,0,N,0,0,N
1000182,8,8,0,7,4,0,0,N,0,0,N,0,0,N,0,0,N,7,20.23,N
